Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,I97610,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,100.0,,Fuzzy matched to: 'Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization' with score 100.0
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",100.0,,"Fuzzy matched to: 'Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 100.0"
Sepsis due to Escherichia coli [E. coli],A4151,Sepsis due to Escherichia coli [E. coli],100.0,,Fuzzy matched to: 'Sepsis due to Escherichia coli [E. coli]' with score 100.0
Acute and subacute hepatic failure with coma,K7201,Acute and subacute hepatic failure with coma,100.0,,Fuzzy matched to: 'Acute and subacute hepatic failure with coma' with score 100.0
"Acute kidney failure, unspecified",N179,"Acute kidney failure, unspecified",100.0,,"Fuzzy matched to: 'Acute kidney failure, unspecified' with score 100.0"
Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,B9561,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,100.0,,Fuzzy matched to: 'Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere' with score 100.0
Presence of coronary angioplasty implant and graft,Z955,Presence of coronary angioplasty implant and graft,100.0,,Fuzzy matched to: 'Presence of coronary angioplasty implant and graft' with score 100.0
Portal hypertension,K766,Portal hypertension,100.0,,Fuzzy matched to: 'Portal hypertension' with score 100.0
"Unspecified fracture of fourth thoracic vertebra, initial encounter for closed fracture",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Other secondary pulmonary hypertension,I2729,Other secondary pulmonary hypertension,100.0,,Fuzzy matched to: 'Other secondary pulmonary hypertension' with score 100.0
Encounter for immunization,Z23,Encounter for immunization,100.0,,Fuzzy matched to: 'Encounter for immunization' with score 100.0
Personal history of traumatic brain injury,Z87820,Personal history of traumatic brain injury,100.0,,Fuzzy matched to: 'Personal history of traumatic brain injury' with score 100.0
Pain in right shoulder,M25511,Pain in right shoulder,100.0,,Fuzzy matched to: 'Pain in right shoulder' with score 100.0
"Alcohol abuse with intoxication, unspecified",F10129,"Alcohol abuse with intoxication, unspecified",100.0,,"Fuzzy matched to: 'Alcohol abuse with intoxication, unspecified' with score 100.0"
"Other psychoactive substance abuse, uncomplicated",F1910,"Other psychoactive substance abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Other psychoactive substance abuse, uncomplicated' with score 100.0"
"Contusion of left lower leg, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Car occupant (driver) (passenger) injured in unspecified traffic accident, initial encounter",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Ventilator associated pneumonia,J95851,Ventilator associated pneumonia,100.0,,Fuzzy matched to: 'Ventilator associated pneumonia' with score 100.0
Delirium due to known physiological condition,F05,Delirium due to known physiological condition,100.0,,Fuzzy matched to: 'Delirium due to known physiological condition' with score 100.0
"Unspecified fracture of T5-T6 vertebra, initial encounter for closed fracture",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident, sequela",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
"Migraine, unspecified, not intractable, without status migrainosus",G43909,"Migraine, unspecified, not intractable, without status migrainosus",100.0,,"Fuzzy matched to: 'Migraine, unspecified, not intractable, without status migrainosus' with score 100.0"
"Major depressive disorder, single episode, unspecified",F329,"Major depressive disorder, single episode, unspecified",100.0,,"Fuzzy matched to: 'Major depressive disorder, single episode, unspecified' with score 100.0"
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",100.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 100.0"
"Concussion and edema of thoracic spinal cord, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Unspecified fracture of T7-T8 vertebra, initial encounter for closed fracture",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Arthrodesis status,Z981,Arthrodesis status,100.0,,Fuzzy matched to: 'Arthrodesis status' with score 100.0
Physical restraint status,Z781,Physical restraint status,100.0,,Fuzzy matched to: 'Physical restraint status' with score 100.0
"Unspecified displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Traumatic hemothorax, initial encounter",Z0142,Encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear,85.5,,Fuzzy matched to: 'Encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear' with score 85.5
"Cannabis use, unspecified, uncomplicated",F1290,"Cannabis use, unspecified, uncomplicated",100.0,,"Fuzzy matched to: 'Cannabis use, unspecified, uncomplicated' with score 100.0"
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",100.0,,"Fuzzy matched to: 'Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 100.0"
"Pleural effusion, not elsewhere classified",J90,"Pleural effusion, not elsewhere classified",100.0,,"Fuzzy matched to: 'Pleural effusion, not elsewhere classified' with score 100.0"
"Cannabis abuse, uncomplicated",F1210,"Cannabis abuse, uncomplicated",100.0,,"Fuzzy matched to: 'Cannabis abuse, uncomplicated' with score 100.0"
"Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Other paved roadways as the place of occurrence of the external cause,Y92488,Other paved roadways as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Other paved roadways as the place of occurrence of the external cause' with score 100.0
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Unspecified place in hospital as the place of occurrence of the external cause,Y92239,Unspecified place in hospital as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Unspecified place in hospital as the place of occurrence of the external cause' with score 100.0
"Unspecified kyphosis, site unspecified",M40209,"Unspecified kyphosis, site unspecified",100.0,,"Fuzzy matched to: 'Unspecified kyphosis, site unspecified' with score 100.0"
Unspecified place or not applicable,Y929,Unspecified place or not applicable,100.0,,Fuzzy matched to: 'Unspecified place or not applicable' with score 100.0
"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Unspecified asthma, uncomplicated",J45909,"Unspecified asthma, uncomplicated",100.0,,"Fuzzy matched to: 'Unspecified asthma, uncomplicated' with score 100.0"
Nontoxic single thyroid nodule,E041,Nontoxic single thyroid nodule,100.0,,Fuzzy matched to: 'Nontoxic single thyroid nodule' with score 100.0
"Anxiety disorder, unspecified",F419,"Anxiety disorder, unspecified",100.0,,"Fuzzy matched to: 'Anxiety disorder, unspecified' with score 100.0"
"Unspecified fracture of second lumbar vertebra, initial encounter for closed fracture",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Body mass index (BMI) 40.0-44.9, adult",Z6841,"Body mass index [BMI] 40.0-44.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 40.0-44.9, adult' with score 94.73684210526316"
"Retention of urine, unspecified",R339,"Retention of urine, unspecified",100.0,,"Fuzzy matched to: 'Retention of urine, unspecified' with score 100.0"
"Body mass index (BMI) 33.0-33.9, adult",Z6833,"Body mass index [BMI] 33.0-33.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 33.0-33.9, adult' with score 94.73684210526316"
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Y840,"Cardiac catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",96.1038961038961,,"Fuzzy matched to: 'Cardiac catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 96.1038961038961"
Cardiac pacemaker in situ,A6922,Other neurologic disorders in Lyme disease,85.5,,Fuzzy matched to: 'Other neurologic disorders in Lyme disease' with score 85.5
Unspecified hereditary and idiopathic peripheral neuropathy,A1781,Tuberculoma of brain and spinal cord,85.5,,Fuzzy matched to: 'Tuberculoma of brain and spinal cord' with score 85.5
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",92.625,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 92.625"
Coronary atherosclerosis of autologous vein bypass graft,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Iatrogenic cerebrovascular infarction or hemorrhage,A5205,Other cerebrovascular syphilis,85.5,,Fuzzy matched to: 'Other cerebrovascular syphilis' with score 85.5
"Chronic kidney disease, unspecified",N189,"Chronic kidney disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic kidney disease, unspecified' with score 100.0"
Aphasia,R4701,Aphasia,100.0,,Fuzzy matched to: 'Aphasia' with score 100.0
Long-term (current) use of insulin,Z794,Long term (current) use of insulin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of insulin' with score 97.05882352941177
Facial weakness,R29810,Facial weakness,100.0,,Fuzzy matched to: 'Facial weakness' with score 100.0
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Other primary cardiomyopathies,I428,Other cardiomyopathies,95.0,,Fuzzy matched to: 'Other cardiomyopathies' with score 95.0
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Alcohol withdrawal delirium,F10131,Alcohol abuse with withdrawal delirium,95.0,,Fuzzy matched to: 'Alcohol abuse with withdrawal delirium' with score 95.0
"Other and unspecified alcohol dependence, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Candidiasis of mouth,A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Accidental fall on or from other stairs or steps,A1803,Tuberculosis of other bones,85.5,,Fuzzy matched to: 'Tuberculosis of other bones' with score 85.5
